family_id,ic_fc,ic_fc_p,holm_corrected_ic_fc_p,bh_corrected_ic_fc_p,family_name,IC_tumour,IC_healthy
PTHR11738,0.8629492595311352,0.2816871831281687,1.0,0.8736032864390457,MHC CLASS I NK CELL RECEPTOR,1.9287479849543245,2.2350653455595664
PTHR21245,1.260456434433446,0.0406895931040689,1.0,0.4889209838060349,HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN,1.2165787229121188,0.965189029685863
PTHR11412,1.2589114389951186,0.1235987640123598,1.0,0.731503075594244,MACROGLOBULIN / COMPLEMENT,1.4057672420650689,1.116653005541974
PTHR19229,1.154627656375705,0.3251067489325107,1.0,0.8841134073866361,ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY A  ABCA,1.1894476936931593,1.030156940313342
PTHR24221,1.0426586778224416,0.8356116438835611,1.0,0.9617920437109828,ATP-BINDING CASSETTE SUB-FAMILY B,1.1438797242175933,1.0970797525097589
PTHR24223,0.8724043350423115,0.2833771662283377,1.0,0.8736032864390457,ATP-BINDING CASSETTE SUB-FAMILY C,1.0083326205168917,1.1558088148060286
PTHR11384,0.7873291970919707,0.0667593324066759,1.0,0.5585106786294775,"ATP-BINDING CASSETTE, SUB-FAMILY D MEMBER",0.89291123901848,1.1341015198172226
PTHR10794,0.9284121923751668,0.4666053339466605,1.0,0.910355629268135,ABHYDROLASE DOMAIN-CONTAINING PROTEIN,0.9875053681950251,1.0636497197098176
PTHR12277,1.0538134865549509,0.7825621743782563,1.0,0.9418117106587282,ALPHA/BETA HYDROLASE DOMAIN-CONTAINING PROTEIN,1.216180371352784,1.1540755426547373
PTHR24418,0.950920478758145,0.6657733422665774,1.0,0.9398091299087008,TYROSINE-PROTEIN KINASE,1.52801970557328,1.6068848444286343
PTHR24213,0.9396974622775356,0.5015749842501575,1.0,0.9236590684940608,ACTIN-BINDING LIM PROTEIN,0.9298940393211037,0.9895674689461481
PTHR18919,0.8936204410798134,0.3632863671363286,1.0,0.8841134073866361,ACETYL-COA C-ACYLTRANSFERASE,1.125494014548369,1.2594765773132586
PTHR48083,1.1049542589014072,0.4437655623443765,1.0,0.8982099751195001,"MEDIUM-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL-RELATED",1.0989410099103334,0.9945579204364088
PTHR43884,1.1651288260925423,0.2473075269247307,1.0,0.8373323658067766,ACYL-COA DEHYDROGENASE,1.2333224421209847,1.0585288205915744
PTHR22804,0.9683635924530296,0.7362926370736292,1.0,0.9398091299087008,AGGRECAN/VERSICAN PROTEOGLYCAN,1.1789886307750193,1.2175061515772598
PTHR23310,0.9496487887180332,0.6598834011659883,1.0,0.9398091299087008,"ACYL-COA-BINDING PROTEIN, ACBP",0.9862234968759591,1.0385139312474654
PTHR11559,0.9742873877942752,0.7579124208757912,1.0,0.9398091299087008,CARBOXYLESTERASE,1.0249108092883512,1.0519594342780998
PTHR10489,1.089147676308716,0.5002049979500205,1.0,0.9236590684940608,CELL ADHESION MOLECULE,1.1151916684101626,1.023912268894254
PTHR10824,0.7700984885001295,0.0466095339046609,1.0,0.5190512959735267,ACYL-COENZYME A THIOESTERASE-RELATED,1.2255421384698963,1.5914096141868876
PTHR10909,0.7747547226644453,0.1629483705162948,1.0,0.7638474170813847,ELECTRON TRANSPORT OXIDOREDUCTASE,0.9987505935422588,1.2891184323568554
PTHR11567,0.9122414533880364,0.4423155768442315,1.0,0.8982099751195001,ACID PHOSPHATASE-RELATED,0.9205985445955708,1.0091610517988403
PTHR43272,1.0130180554950026,0.971820281797182,1.0,0.9778720069942158,LONG-CHAIN-FATTY-ACID--COA LIGASE,1.0463870406069264,1.032940168174615
PTHR11937,0.9174385544937844,0.5331746682533175,1.0,0.933776924857014,ACTIN,1.0564274267399278,1.151496655078808
PTHR11915,1.078578427050033,0.5992840071599284,1.0,0.933776924857014,SPECTRIN/FILAMIN RELATED CYTOSKELETAL PROTEIN,1.0830867474119477,1.0041798725515476
PTHR23255,1.1268800060177924,0.3939060609393906,1.0,0.8841134073866361,TRANSFORMING GROWTH FACTOR-BETA RECEPTOR TYPE I AND II,1.1306119405008888,1.0033117407915368
PTHR11905,0.8452016943141627,0.3018869811301887,1.0,0.8736032864390457,ADAM  A DISINTEGRIN AND METALLOPROTEASE DOMAIN,0.9501579555669694,1.1241789527385806
PTHR13723,1.061031007483267,0.8238717612823871,1.0,0.9561869312394166,ADAMTS  A DISINTEGRIN AND METALLOPROTEASE WITH THROMBOSPONDIN MOTIFS  PROTEASE,1.2951042324699928,1.220609221913258
PTHR45627,0.8431877812657171,0.2242177578224218,1.0,0.8279650862027966,ADENYLATE CYCLASE TYPE 1,0.9718846929280374,1.152631376452268
PTHR45620,0.9355260610054577,0.6151538484615154,1.0,0.9341947453541338,PDF RECEPTOR-LIKE PROTEIN-RELATED,1.1846324549237173,1.2662741363405023
PTHR12011,0.7628458365636552,0.0738192618073819,1.0,0.5820956373769596,ADHESION G-PROTEIN COUPLED RECEPTOR,0.9421158017687302,1.23500156468392
